Titolo,Tipo,Serie / Universo,Numero,Editore,Edizione,Formato,Lingua,ISBN,Prezzo,Data acquisto,Stato lettura,Voto,Commento,Note edizione,Sceneggiatura,Disegni,Provenienza
Batman: Anno Uno,Comic,Batman / Universo DC / Recupero Batman,1,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-02-08,Letto,9,il punto d'ingresso che consiglio a tutti,,Frank Miller,David Mazzucchelli,
Batman: Il lungo Halloween,Comic,Batman / Universo DC / Recupero Batman,2,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-03-08,Letto,"9,5",,"il Must Have vale il prezzo, la carta no",Jeph Loeb,Tim Sale,
Batman: Silenzio,Comic,Batman / Universo DC / Recupero Batman,3,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-04-08,Letto,8,,,Jeph Loeb,Jim Lee,
Batman: Terra Uno,Comic,Batman / Universo DC / Recupero Batman,4,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-05-08,Letto,"7,5",,,Geoff Johns,Gary Frank,
Batman: Venom,Comic,Batman / Universo DC / Recupero Batman,5,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-06-08,Letto,7,,,Denny O'Neil,Trevor Von Eeden,
Batman: Cavaliere Bianco,Comic,Batman / Universo DC / Recupero Batman,6,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-07-08,Letto,"8,5",,,Sean Murphy,Sean Murphy,
Batman: Un lutto in famiglia,Comic,Batman / Universo DC / Recupero Batman,7,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-08-08,Letto,"6,5",,,Jim Starlin,Jim Aparo,
Batman: The Killing Joke,Comic,Batman / Universo DC / Recupero Batman,8,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-09-08,Da leggere,,,,Alan Moore,Brian Bolland,
Batman: Amore folle,Comic,Batman / Universo DC / Recupero Batman,9,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-01-08,Da leggere,,,,Paul Dini,Bruce Timm,
Batman: Il ritorno del Cavaliere Oscuro,Comic,Batman / Universo DC / Recupero Batman,10,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-02-08,Da leggere,,,,Frank Miller,Frank Miller,
Batman: Ego,Comic,Batman / Universo DC / Recupero Batman,11,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-03-08,Da leggere,,,,Darwyn Cooke,Darwyn Cooke,
Batman: Gothic,Comic,Batman / Universo DC / Recupero Batman,12,Panini DC Italia,Must Have,Must Have,Italiano,,"14,90",2025-04-08,Da leggere,,,,Grant Morrison,Klaus Janson,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,1,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,Letto,8,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,2,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,Letto,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,3,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,Letto,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,4,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,Letto,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,5,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,Letto,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,6,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,In lettura,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,7,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,In lettura,,,,ONE,Yusuke Murata,
One-Punch Man,Manga,One-Punch Man / Angolo Giappone,8,Planet Manga,,Tankobon,Italiano,,"4,90",2021-11-05,In lettura,,,,ONE,Yusuke Murata,
Berserk,Manga,Berserk,1,Panini Comics,Maximum,Deluxe,Italiano,,"23,00",2025-02-18,Letto,10,,"Maximum: tre tankobon in uno, dorso che tiene",Kentaro Miura,Kentaro Miura,
Berserk,Manga,Berserk,2,Panini Comics,Maximum,Deluxe,Italiano,,"23,00",2025-02-18,Letto,,,,Kentaro Miura,Kentaro Miura,
Berserk,Manga,Berserk,3,Panini Comics,Maximum,Deluxe,Italiano,,"23,00",2025-02-18,Da leggere,,,,Kentaro Miura,Kentaro Miura,
Berserk,Manga,Berserk,4,Panini Comics,Maximum,Deluxe,Italiano,,"23,00",2025-02-18,Da leggere,,,,Kentaro Miura,Kentaro Miura,
L'uomo che ride,Graphic Novel,L'uomo che ride / Universo DC,1,Panini DC Italia,Deluxe,Deluxe,Italiano,,"25,00",2024-09-30,Letto,"8,5","tre storie in un volume, e il voto qui e' uno solo","ottima edizione, ma il volume tiene tre storie diverse",Ed Brubaker,Doug Mahnke,
La storia della mia vita - Spider-Man,Comic,Spider-Man / Universo Marvel / La storia della mia vita,1,Panini Marvel Italia,Omnibus,Omnibus,Italiano,,"75,00",2025-04-12,Letto,9,,,Stan Lee,Steve Ditko,
La storia della mia vita - Spider-Man,Comic,Spider-Man / Universo Marvel / La storia della mia vita,2,Panini Marvel Italia,Omnibus,Omnibus,Italiano,,#ERROR!,2025-04-12,Da leggere,,,,Stan Lee,Steve Ditko,
La storia della mia vita - Spider-Man,Comic,Spider-Man / Universo Marvel / La storia della mia vita,3,Panini Marvel Italia,Omnibus,Omnibus,Italiano,,"75,00",2025-04-12,Da leggere,,,,Stan Lee,Steve Ditko,
Watchmen,Graphic Novel,Universo DC,,Panini DC Italia,Absolute,Cartonato,Italiano,,"19,90",2020-12-24,Letto,10,,,Alan Moore,Dave Gibbons,
V for Vendetta,Graphic Novel,,,Panini DC Italia,,Cartonato,Italiano,,"19,90",2020-12-24,Letto,9,,,Alan Moore,David Lloyd,
Maus,Graphic Novel,,,Einaudi,,Brossura,Italiano,,"19,90",2020-12-24,Letto,10,,,Art Spiegelman,Art Spiegelman,
Persepolis,Graphic Novel,,,Rizzoli Lizard,,Brossura,Italiano,,"19,90",2020-12-24,Letto,8,,,Marjane Satrapi,Marjane Satrapi,
Sandman,Comic,Vertigo / Universo DC,,Panini DC Italia,Library,Cartonato,Italiano,,"19,90",2020-12-24,Letto,#ERROR!,,,Neil Gaiman,Sam Kieth,
Blankets,Graphic Novel,,,Rizzoli Lizard,,Brossura,Italiano,,"19,90",2020-12-24,Da leggere,,,,Craig Thompson,Craig Thompson,
Asterios Polyp,Graphic Novel,,,Coconino Press,,Cartonato,Italiano,,"19,90",2020-12-24,Letto,#ERROR!,,,David Mazzucchelli,David Mazzucchelli,
Hellboy,Comic,,,Magic Press,Library,Cartonato,Italiano,,"19,90",2020-12-24,Letto,"7,5",,,Mike Mignola,Mike Mignola,
Saga,Comic,,,BAO Publishing,,Brossura,Italiano,,"19,90",2020-12-24,In lettura,8,,,Brian K. Vaughan,Fiona Staples,
Monster,Manga,Angolo Giappone,,Planet Manga,Ultimate,Tankobon,Italiano,,"19,90",2020-12-24,Letto,"9,5",,,Naoki Urasawa,Naoki Urasawa,
